"start","end","keyword","hits","location"
2015-03-15,2015-03-21,"Jean-Michel Basquiat",65,"World"
2015-03-22,2015-03-28,"Jean-Michel Basquiat",59,"World"
2015-03-29,2015-04-04,"Jean-Michel Basquiat",45,"World"
2015-04-05,2015-04-11,"Jean-Michel Basquiat",45,"World"
2015-04-12,2015-04-18,"Jean-Michel Basquiat",35,"World"
2015-04-19,2015-04-25,"Jean-Michel Basquiat",44,"World"
2015-04-26,2015-05-02,"Jean-Michel Basquiat",52,"World"
2015-05-03,2015-05-09,"Jean-Michel Basquiat",47,"World"
2015-05-10,2015-05-16,"Jean-Michel Basquiat",47,"World"
2015-05-17,2015-05-23,"Jean-Michel Basquiat",36,"World"
2015-05-24,2015-05-30,"Jean-Michel Basquiat",46,"World"
2015-05-31,2015-06-06,"Jean-Michel Basquiat",39,"World"
2015-06-07,2015-06-13,"Jean-Michel Basquiat",49,"World"
2015-06-14,2015-06-20,"Jean-Michel Basquiat",37,"World"
2015-06-21,2015-06-27,"Jean-Michel Basquiat",34,"World"
2015-06-28,2015-07-04,"Jean-Michel Basquiat",20,"World"
2015-07-05,2015-07-11,"Jean-Michel Basquiat",67,"World"
2015-07-12,2015-07-18,"Jean-Michel Basquiat",48,"World"
2015-07-19,2015-07-25,"Jean-Michel Basquiat",50,"World"
2015-07-26,2015-08-01,"Jean-Michel Basquiat",39,"World"
2015-08-02,2015-08-08,"Jean-Michel Basquiat",47,"World"
2015-08-09,2015-08-15,"Jean-Michel Basquiat",54,"World"
2015-08-16,2015-08-22,"Jean-Michel Basquiat",49,"World"
2015-08-23,2015-08-29,"Jean-Michel Basquiat",29,"World"
2015-08-30,2015-09-05,"Jean-Michel Basquiat",17,"World"
2015-09-06,2015-09-12,"Jean-Michel Basquiat",50,"World"
2015-09-13,2015-09-19,"Jean-Michel Basquiat",61,"World"
2015-09-20,2015-09-26,"Jean-Michel Basquiat",47,"World"
2015-09-27,2015-10-03,"Jean-Michel Basquiat",32,"World"
2015-10-04,2015-10-10,"Jean-Michel Basquiat",91,"World"
2015-10-11,2015-10-17,"Jean-Michel Basquiat",51,"World"
2015-10-18,2015-10-24,"Jean-Michel Basquiat",61,"World"
2015-10-25,2015-10-31,"Jean-Michel Basquiat",43,"World"
2015-11-01,2015-11-07,"Jean-Michel Basquiat",43,"World"
2015-11-08,2015-11-14,"Jean-Michel Basquiat",61,"World"
2015-11-15,2015-11-21,"Jean-Michel Basquiat",39,"World"
2015-11-22,2015-11-28,"Jean-Michel Basquiat",80,"World"
2015-11-29,2015-12-05,"Jean-Michel Basquiat",43,"World"
2015-12-06,2015-12-12,"Jean-Michel Basquiat",30,"World"
2015-12-13,2015-12-19,"Jean-Michel Basquiat",38,"World"
2015-12-20,2015-12-26,"Jean-Michel Basquiat",65,"World"
2015-12-27,2016-01-02,"Jean-Michel Basquiat",30,"World"
2016-01-03,2016-01-09,"Jean-Michel Basquiat",23,"World"
2016-01-10,2016-01-16,"Jean-Michel Basquiat",61,"World"
2016-01-17,2016-01-23,"Jean-Michel Basquiat",25,"World"
2016-01-24,2016-01-30,"Jean-Michel Basquiat",42,"World"
2016-01-31,2016-02-06,"Jean-Michel Basquiat",26,"World"
2015-01-04,2015-01-10,"Henri Matisse",73,"World"
2015-01-11,2015-01-17,"Henri Matisse",100,"World"
2015-01-18,2015-01-24,"Henri Matisse",92,"World"
2015-01-25,2015-01-31,"Henri Matisse",83,"World"
2015-02-01,2015-02-07,"Henri Matisse",82,"World"
2015-02-08,2015-02-14,"Henri Matisse",89,"World"
2015-02-15,2015-02-21,"Henri Matisse",70,"World"
2015-02-22,2015-02-28,"Henri Matisse",80,"World"
2015-03-01,2015-03-07,"Henri Matisse",77,"World"
2015-03-08,2015-03-14,"Henri Matisse",80,"World"
2015-03-15,2015-03-21,"Henri Matisse",80,"World"
2015-03-22,2015-03-28,"Henri Matisse",94,"World"
2015-03-29,2015-04-04,"Henri Matisse",65,"World"
2015-04-05,2015-04-11,"Henri Matisse",83,"World"
2015-04-12,2015-04-18,"Henri Matisse",94,"World"
2015-04-19,2015-04-25,"Henri Matisse",93,"World"
2015-04-26,2015-05-02,"Henri Matisse",80,"World"
2015-05-03,2015-05-09,"Henri Matisse",85,"World"
2015-05-10,2015-05-16,"Henri Matisse",91,"World"
2015-05-17,2015-05-23,"Henri Matisse",93,"World"
2015-05-24,2015-05-30,"Henri Matisse",81,"World"
2015-05-31,2015-06-06,"Henri Matisse",79,"World"
2015-06-07,2015-06-13,"Henri Matisse",81,"World"
2015-06-14,2015-06-20,"Henri Matisse",75,"World"
2015-06-21,2015-06-27,"Henri Matisse",66,"World"
2015-06-28,2015-07-04,"Henri Matisse",40,"World"
2015-07-05,2015-07-11,"Henri Matisse",54,"World"
2015-07-12,2015-07-18,"Henri Matisse",37,"World"
2015-07-19,2015-07-25,"Henri Matisse",31,"World"
2015-07-26,2015-08-01,"Henri Matisse",42,"World"
2015-08-02,2015-08-08,"Henri Matisse",36,"World"
2015-08-09,2015-08-15,"Henri Matisse",41,"World"
2015-08-16,2015-08-22,"Henri Matisse",51,"World"
2015-08-23,2015-08-29,"Henri Matisse",64,"World"
2015-08-30,2015-09-05,"Henri Matisse",80,"World"
2015-09-06,2015-09-12,"Henri Matisse",68,"World"
2015-09-13,2015-09-19,"Henri Matisse",86,"World"
2015-09-20,2015-09-26,"Henri Matisse",86,"World"
2015-09-27,2015-10-03,"Henri Matisse",95,"World"
2015-10-04,2015-10-10,"Henri Matisse",95,"World"
2015-10-11,2015-10-17,"Henri Matisse",75,"World"
2015-10-18,2015-10-24,"Henri Matisse",67,"World"
2015-10-25,2015-10-31,"Henri Matisse",72,"World"
2015-11-01,2015-11-07,"Henri Matisse",82,"World"
2015-11-08,2015-11-14,"Henri Matisse",88,"World"
2015-11-15,2015-11-21,"Henri Matisse",88,"World"
2015-11-22,2015-11-28,"Henri Matisse",75,"World"
2015-11-29,2015-12-05,"Henri Matisse",82,"World"
2015-12-06,2015-12-12,"Henri Matisse",68,"World"
2015-12-13,2015-12-19,"Henri Matisse",69,"World"
2015-12-20,2015-12-26,"Henri Matisse",34,"World"
2015-12-27,2016-01-02,"Henri Matisse",46,"World"
2016-01-03,2016-01-09,"Henri Matisse",75,"World"
2016-01-10,2016-01-16,"Henri Matisse",87,"World"
2016-01-17,2016-01-23,"Henri Matisse",78,"World"
2016-01-24,2016-01-30,"Henri Matisse",86,"World"
2016-01-31,2016-02-06,"Henri Matisse",82,"World"
